epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5116,3.44466,5.40733,4.25044,0,0,0,0,3.22422,5.09276,4.15364,0.00330688,0.00330688,0.00330688
2,248.478,3.46357,5.40046,4.2111,0.00041,0.00224,0.00021,0.00011,nan,nan,nan,0.00657447,0.00657447,0.00657447
3,324.398,2.86141,4.34579,3.33463,0.36308,0.01838,0.00487,0.00205,2.43196,4.55937,3.00975,0.00977607,0.00977607,0.00977607
4,395.706,2.02433,3.5996,2.41011,0.48432,0.0466,0.02813,0.01324,1.93891,3.66872,2.43147,0.009703,0.009703,0.009703
5,465.071,1.76746,3.19161,2.12421,0.44304,0.09145,0.04834,0.02587,1.71984,3.50094,2.19075,0.009604,0.009604,0.009604
6,529.541,1.63121,2.94356,1.978,0.35219,0.14051,0.08729,0.04933,1.57595,2.72986,2.03019,0.009505,0.009505,0.009505
7,593.704,1.55407,2.75611,1.89345,0.33834,0.15452,0.11341,0.06559,1.51332,2.61074,1.95007,0.009406,0.009406,0.009406
8,658.725,1.50381,2.64154,1.83843,0.29103,0.17821,0.12475,0.07458,1.48043,2.54766,1.87313,0.009307,0.009307,0.009307
9,722.681,1.45548,2.51976,1.79023,0.2953,0.20202,0.13701,0.08279,1.42564,2.48119,1.8521,0.009208,0.009208,0.009208
10,786.855,1.4213,2.43521,1.74822,0.33264,0.22928,0.16751,0.10466,1.40436,2.31356,1.79136,0.009109,0.009109,0.009109
11,850.393,1.39267,2.34971,1.71124,0.3083,0.23911,0.19194,0.12312,1.35146,2.233,1.76339,0.00901,0.00901,0.00901
12,914.118,1.37545,2.29545,1.69925,0.2997,0.26227,0.20637,0.13211,1.34527,2.12836,1.72892,0.008911,0.008911,0.008911
13,978.038,1.35318,2.22575,1.67305,0.39578,0.25492,0.22173,0.14368,1.29479,2.0959,1.68786,0.008812,0.008812,0.008812
14,1041.47,1.3347,2.18578,1.65373,0.38615,0.26661,0.23674,0.15674,1.28536,2.03191,1.67489,0.008713,0.008713,0.008713
15,1105,1.31556,2.1454,1.63577,0.3361,0.28277,0.24499,0.1622,1.28543,2.02453,1.66675,0.008614,0.008614,0.008614
16,1168.66,1.29778,2.09005,1.61743,0.43502,0.27644,0.26304,0.17479,1.2557,1.96299,1.64168,0.008515,0.008515,0.008515
17,1232.2,1.28449,2.06358,1.60719,0.37207,0.29127,0.26732,0.17887,1.25837,1.95107,1.63494,0.008416,0.008416,0.008416
18,1295.61,1.26855,2.04626,1.5927,0.3615,0.30752,0.27632,0.18732,1.2367,1.9096,1.61509,0.008317,0.008317,0.008317
19,1358.88,1.25671,1.98859,1.57548,0.37419,0.31616,0.28775,0.19502,1.20831,1.84456,1.58405,0.008218,0.008218,0.008218
20,1422.06,1.24578,1.96703,1.565,0.40495,0.30592,0.29071,0.19928,1.21374,1.84333,1.58248,0.008119,0.008119,0.008119
21,1485.51,1.24131,1.94155,1.55797,0.38279,0.34263,0.30388,0.2095,1.1914,1.78789,1.56417,0.00802,0.00802,0.00802
22,1548.64,1.22739,1.90589,1.5442,0.3693,0.3443,0.31146,0.21567,1.19165,1.771,1.5651,0.007921,0.007921,0.007921
23,1611.76,1.21253,1.87744,1.52995,0.4113,0.34197,0.32522,0.22897,1.17344,1.74506,1.54414,0.007822,0.007822,0.007822
24,1675.03,1.20456,1.85242,1.52615,0.39843,0.36659,0.33275,0.23175,1.16555,1.70181,1.53315,0.007723,0.007723,0.007723
25,1738.24,1.20092,1.83899,1.51802,0.40311,0.35337,0.33193,0.23174,1.15592,1.68901,1.52376,0.007624,0.007624,0.007624
26,1801.45,1.19366,1.81386,1.50806,0.39023,0.36171,0.33547,0.23546,1.14899,1.71418,1.51135,0.007525,0.007525,0.007525
27,1864.73,1.17453,1.78272,1.49172,0.38159,0.37135,0.3377,0.23581,1.15836,1.70293,1.52305,0.007426,0.007426,0.007426
28,1927.91,1.17534,1.77395,1.49188,0.41595,0.37482,0.34989,0.24766,1.12559,1.63007,1.48809,0.007327,0.007327,0.007327
29,1990.94,1.16963,1.75721,1.48892,0.45172,0.37688,0.35575,0.25305,1.12913,1.6279,1.49157,0.007228,0.007228,0.007228
30,2054.11,1.16213,1.73361,1.47878,0.44729,0.36856,0.36186,0.25764,1.12761,1.61123,1.49216,0.007129,0.007129,0.007129
