epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9509,3.41864,5.41095,4.24287,0,0,0,0,3.22496,5.09455,4.15517,0.00330688,0.00330688,0.00330688
2,125.687,3.35555,5.14805,4.06682,0.84649,0.00486,0.00089,0.00026,2.98679,5.43033,3.71386,0.00657447,0.00657447,0.00657447
3,274.438,2.37698,3.8064,2.8637,0.3978,0.03967,0.01374,0.00548,2.1942,inf,2.82879,0.00977607,0.00977607,0.00977607
4,344.903,1.82363,3.20726,2.27655,0.43302,0.0874,0.05207,0.02668,1.76617,3.49557,2.32096,0.009703,0.009703,0.009703
5,412.167,1.64636,2.84973,2.07196,0.27676,0.1511,0.09255,0.05154,1.58626,2.8446,2.09782,0.009604,0.009604,0.009604
6,478.261,1.53719,2.62389,1.94502,0.3686,0.18208,0.1265,0.07572,1.50894,2.53175,2.01208,0.009505,0.009505,0.009505
7,543.38,1.46334,2.43926,1.8663,0.30034,0.22707,0.16874,0.10405,1.43114,2.24071,1.92136,0.009406,0.009406,0.009406
8,608.494,1.41062,2.33242,1.80692,0.32063,0.24423,0.1939,0.1225,1.37007,2.17261,1.84267,0.009307,0.009307,0.009307
9,672.915,1.36258,2.21815,1.75877,0.36917,0.26118,0.20906,0.13626,1.34168,2.09075,1.82579,0.009208,0.009208,0.009208
10,737.197,1.32952,2.13051,1.71887,0.36908,0.2889,0.23757,0.15489,1.30032,1.99258,1.78018,0.009109,0.009109,0.009109
11,801.416,1.30295,2.05394,1.6857,0.36692,0.29488,0.24555,0.16264,1.2734,1.92139,1.74132,0.00901,0.00901,0.00901
12,865.937,1.29051,2.00813,1.67194,0.3682,0.32181,0.27299,0.18481,1.23883,1.88012,1.69056,0.008911,0.008911,0.008911
13,930.168,1.26682,1.92874,1.64748,0.39345,0.32552,0.28461,0.19411,1.24478,1.84439,1.69738,0.008812,0.008812,0.008812
14,994.096,1.24645,1.89837,1.62567,0.38691,0.34179,0.30515,0.21141,1.21635,1.80179,1.67436,0.008713,0.008713,0.008713
15,1058.06,1.2298,1.8588,1.60956,0.38636,0.3531,0.31122,0.21527,1.18103,1.73452,1.63766,0.008614,0.008614,0.008614
16,1121.86,1.21652,1.8072,1.59413,0.4175,0.36892,0.3325,0.23062,1.1707,1.676,1.61915,0.008515,0.008515,0.008515
17,1185.87,1.20208,1.78581,1.5822,0.39066,0.36243,0.32346,0.22416,1.16317,1.69029,1.60219,0.008416,0.008416,0.008416
18,1249.88,1.18679,1.77018,1.57077,0.43651,0.37394,0.34124,0.23964,1.15147,1.68118,1.60042,0.008317,0.008317,0.008317
19,1313.64,1.17477,1.71726,1.5539,0.40737,0.38854,0.35081,0.24694,1.13106,1.62633,1.56884,0.008218,0.008218,0.008218
20,1377.31,1.16495,1.69734,1.54506,0.45054,0.39546,0.36165,0.2557,1.12227,1.59115,1.5639,0.008119,0.008119,0.008119
21,1441.06,1.15801,1.67189,1.53785,0.43974,0.4061,0.36925,0.26223,1.10767,1.56026,1.54516,0.00802,0.00802,0.00802
22,1504.79,1.14455,1.6412,1.52315,0.46382,0.40833,0.38201,0.27223,1.10478,1.53543,1.53864,0.007921,0.007921,0.007921
23,1568.55,1.13495,1.61263,1.51325,0.40668,0.41611,0.37622,0.2689,1.1059,1.5571,1.53863,0.007822,0.007822,0.007822
24,1632.34,1.12614,1.59993,1.50782,0.44599,0.42049,0.38893,0.27923,1.09762,1.51121,1.53089,0.007723,0.007723,0.007723
25,1695.95,1.12414,1.58648,1.5019,0.46956,0.39876,0.39508,0.28479,1.08362,1.49085,1.51363,0.007624,0.007624,0.007624
26,1759.65,1.1137,1.56014,1.48841,0.47407,0.4038,0.40504,0.29354,1.07544,1.45208,1.5054,0.007525,0.007525,0.007525
27,1823.58,1.09662,1.52872,1.47277,0.4748,0.42196,0.41537,0.30038,1.07524,1.43455,1.50528,0.007426,0.007426,0.007426
28,1887.11,1.0972,1.52261,1.47245,0.47415,0.42532,0.41671,0.30182,1.05741,1.41875,1.48759,0.007327,0.007327,0.007327
29,1950.71,1.09424,1.50541,1.46919,0.49567,0.41058,0.41543,0.30227,1.05376,1.4236,1.48199,0.007228,0.007228,0.007228
30,2014.24,1.08405,1.48418,1.46076,0.47311,0.44144,0.42483,0.3067,1.05573,1.39911,1.48118,0.007129,0.007129,0.007129
31,2077.93,1.07508,1.46203,1.4529,0.48574,0.4223,0.42701,0.31077,1.05114,1.38772,1.47414,0.00703,0.00703,0.00703
32,2141.39,1.07431,1.45404,1.44758,0.47953,0.45528,0.43402,0.31731,1.03133,1.37748,1.45934,0.006931,0.006931,0.006931
33,2204.94,1.06663,1.43111,1.43798,0.4726,0.45524,0.43372,0.31784,1.03097,1.36094,1.45225,0.006832,0.006832,0.006832
34,2268.44,1.05737,1.42023,1.43668,0.50047,0.44873,0.44921,0.33292,1.01904,1.35048,1.45146,0.006733,0.006733,0.006733
35,2332.13,1.05596,1.41532,1.43332,0.47193,0.46559,0.4434,0.32695,1.01919,1.34633,1.45191,0.006634,0.006634,0.006634
36,2395.66,1.04736,1.3956,1.42447,0.4816,0.47701,0.46107,0.34402,1.00883,1.309,1.43163,0.006535,0.006535,0.006535
37,2459.08,1.03781,1.37465,1.41463,0.49266,0.44943,0.45272,0.33694,1.00481,1.32449,1.4313,0.006436,0.006436,0.006436
38,2522.43,1.03203,1.36694,1.41126,0.49625,0.46151,0.45568,0.33707,1.00593,1.31983,1.4337,0.006337,0.006337,0.006337
39,2585.83,1.03603,1.36425,1.41029,0.51545,0.47025,0.47431,0.35155,1.00394,1.29543,1.42698,0.006238,0.006238,0.006238
40,2649.2,1.02323,1.33787,1.39722,0.53177,0.46691,0.47453,0.35406,0.99607,1.28328,1.41984,0.006139,0.006139,0.006139
41,2712.64,1.02354,1.3353,1.39831,0.51716,0.47729,0.4728,0.35241,1.00133,1.283,1.41601,0.00604,0.00604,0.00604
42,2775.87,1.01589,1.32017,1.39342,0.5273,0.47948,0.47987,0.35753,0.98914,1.26645,1.40723,0.005941,0.005941,0.005941
43,2839.29,1.01008,1.31249,1.38877,0.51218,0.48706,0.48042,0.35864,0.9993,1.26453,1.4143,0.005842,0.005842,0.005842
44,2902.72,1.00839,1.30092,1.38529,0.52844,0.49024,0.49113,0.36932,0.98697,1.25019,1.40534,0.005743,0.005743,0.005743
45,2965.92,1.00689,1.28815,1.37935,0.52054,0.48276,0.48609,0.36429,0.99186,1.24404,1.40006,0.005644,0.005644,0.005644
46,3029.24,0.99655,1.27528,1.3734,0.52447,0.48606,0.48602,0.36455,0.98464,1.24335,1.39466,0.005545,0.005545,0.005545
47,3092.56,0.99524,1.26024,1.37201,0.52538,0.49372,0.49682,0.37325,0.98064,1.23413,1.39071,0.005446,0.005446,0.005446
48,3156.17,0.99224,1.2564,1.36914,0.53236,0.4991,0.49847,0.37686,0.97732,1.22537,1.38946,0.005347,0.005347,0.005347
49,3219.69,0.98199,1.2391,1.35848,0.55407,0.49684,0.50513,0.37729,0.97931,1.20327,1.38767,0.005248,0.005248,0.005248
50,3283.08,0.98619,1.23583,1.36186,0.51396,0.5112,0.50522,0.38176,0.98247,1.20366,1.40046,0.005149,0.005149,0.005149
51,3346.35,0.97302,1.22219,1.35094,0.54449,0.49612,0.50217,0.37488,0.97797,1.21079,1.3875,0.00505,0.00505,0.00505
52,3409.73,0.98241,1.21495,1.35768,0.54652,0.49425,0.50669,0.38088,0.97342,1.19513,1.38846,0.004951,0.004951,0.004951
53,3473.02,0.9685,1.20827,1.34454,0.52924,0.50425,0.50843,0.38216,0.96558,1.18963,1.37451,0.004852,0.004852,0.004852
54,3536.53,0.96269,1.1909,1.34062,0.54356,0.51078,0.51626,0.3894,0.96522,1.19463,1.37491,0.004753,0.004753,0.004753
55,3599.77,0.96183,1.1828,1.34236,0.55508,0.49983,0.51757,0.39108,0.96683,1.18032,1.3766,0.004654,0.004654,0.004654
56,3663.25,0.95462,1.16689,1.33259,0.54709,0.51596,0.52035,0.3924,0.9631,1.17813,1.37285,0.004555,0.004555,0.004555
57,3726.55,0.9555,1.16184,1.33206,0.55819,0.50378,0.52022,0.39593,0.96049,1.17454,1.36964,0.004456,0.004456,0.004456
58,3789.79,0.9508,1.15268,1.33072,0.56042,0.50445,0.52273,0.39466,0.9578,1.17243,1.3659,0.004357,0.004357,0.004357
59,3852.98,0.94781,1.14331,1.32427,0.54083,0.52554,0.5244,0.39658,0.95199,1.16542,1.36194,0.004258,0.004258,0.004258
60,3916.28,0.94489,1.13653,1.3204,0.54866,0.52865,0.5247,0.39752,0.95401,1.16539,1.36303,0.004159,0.004159,0.004159
61,3979.46,0.94073,1.11773,1.31573,0.55687,0.52002,0.52862,0.40047,0.95498,1.16375,1.36262,0.00406,0.00406,0.00406
62,4042.63,0.93685,1.11674,1.313,0.57569,0.50249,0.53052,0.40121,0.95193,1.15657,1.3575,0.003961,0.003961,0.003961
63,4105.86,0.93191,1.10521,1.31045,0.55361,0.51813,0.53155,0.4029,0.94917,1.15012,1.35714,0.003862,0.003862,0.003862
64,4169.08,0.9305,1.09428,1.3093,0.56494,0.51495,0.53146,0.40415,0.94968,1.14844,1.36145,0.003763,0.003763,0.003763
65,4232.48,0.92325,1.0946,1.30563,0.5521,0.52692,0.53328,0.40377,0.95389,1.1516,1.36201,0.003664,0.003664,0.003664
66,4295.72,0.91964,1.07435,1.2981,0.56139,0.52104,0.537,0.40644,0.94967,1.14246,1.36016,0.003565,0.003565,0.003565
67,4359.11,0.91739,1.07007,1.29691,0.56165,0.51912,0.53418,0.4049,0.95149,1.14454,1.35947,0.003466,0.003466,0.003466
68,4422.45,0.91252,1.05996,1.29082,0.56496,0.52612,0.53584,0.4057,0.94938,1.14672,1.35818,0.003367,0.003367,0.003367
69,4485.66,0.90371,1.05194,1.28722,0.56484,0.52733,0.53514,0.4077,0.95242,1.1437,1.36197,0.003268,0.003268,0.003268
70,4549.05,0.907,1.03782,1.28543,0.56548,0.51668,0.53483,0.40683,0.94997,1.14387,1.35811,0.003169,0.003169,0.003169
71,4612.27,0.89715,1.03396,1.28218,0.56798,0.52692,0.53686,0.40712,0.951,1.13885,1.35939,0.00307,0.00307,0.00307
72,4675.21,0.90187,1.02957,1.28181,0.58358,0.51514,0.54109,0.40998,0.94967,1.13307,1.35637,0.002971,0.002971,0.002971
73,4738.79,0.89331,1.01221,1.27448,0.56712,0.52828,0.54119,0.41094,0.95092,1.13354,1.35674,0.002872,0.002872,0.002872
74,4802.42,0.8963,1.01348,1.27689,0.58058,0.52244,0.54011,0.41106,0.95256,1.13468,1.35988,0.002773,0.002773,0.002773
75,4866.23,0.89213,0.99821,1.27135,0.57064,0.52699,0.53976,0.40977,0.94917,1.13715,1.3573,0.002674,0.002674,0.002674
